molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL138876,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3C(=O)c3ccc(Cl)cc3)[C@H]12,1400.0,intermediate
CHEMBL343154,CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3c2nc3ccc(CO)cc3s2)cc1,20000.0,inactive
CHEMBL138762,CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3c2nc3cc(S(=O)(=O)C(F)F)ccc3s2)cc1,210.0,active
CHEMBL345088,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)Cc3ccccc3)[C@H]12,2100.0,intermediate
CHEMBL344256,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3C(=O)Nc3ccccc3)[C@H]12,1400.0,intermediate
CHEMBL138754,CC(C)c1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2CC2)cc1,460.0,active
CHEMBL301715,CC(C)Oc1cccc(S(=O)(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2CC2)c1,65000.0,inactive
CHEMBL336909,CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2C(C)(C)C2(C)C)cc1,20000.0,inactive
CHEMBL422106,COc1cccc2sc(N3C(=O)[C@@H](C)[C@@H]4[C@@H]3CCN4C(=O)[C@@H]3CCCN3C(=O)Nc3ccc(C(C)C)cc3)nc12,240.0,active
CHEMBL336230,CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3c2nc3cc(Cl)ccc3s2)cc1,460.0,active
CHEMBL344199,COc1ccc2sc(N3C(=O)[C@@H](C)[C@@H]4[C@@H]3CCN4C(=O)[C@@H]3CCCN3C(=O)Nc3ccc(C(C)C)cc3)nc2c1,230.0,active
CHEMBL342014,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3C(=O)Nc3ccc(Cl)cc3)[C@H]12,260.0,active
CHEMBL342871,CCOC(=O)c1ccc2nc(N3C(=O)[C@@H](C)[C@@H]4[C@@H]3CCN4C(=O)[C@@H]3CCCN3C(=O)Nc3ccc(C(C)C)cc3)sc2c1,350.0,active
CHEMBL138346,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3C(=O)Nc3ccc(C(F)(F)F)cc3)[C@H]12,230.0,active
CHEMBL139154,COc1ccc2nc(N3C(=O)[C@@H](C)[C@@H]4[C@@H]3CCN4C(=O)[C@@H]3CCCN3C(=O)Nc3ccc(C(C)C)cc3)sc2c1,220.0,active
CHEMBL343989,CCCOc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2CC2)cc1,230.0,active
CHEMBL344039,CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2CC2)cc1,200.0,active
CHEMBL337146,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3ccccc3)[C@H]12,1800.0,intermediate
CHEMBL337312,CC(C)c1ccc(C(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2CC2)cc1,390.0,active
CHEMBL134973,CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3c2nc3ccc(OC(F)(F)F)cc3s2)cc1,460.0,active
CHEMBL138211,CCCOc1ccc(C(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2CC2)cc1,540.0,active
CHEMBL343130,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3ccc(-c4ccc(Cl)cc4)cc3)[C@H]12,840.0,active
CHEMBL336034,Cc1c(C(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2CC2)sc2ccc(Cl)cc12,190.0,active
CHEMBL343116,CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3c2nc3ccc([N+](=O)[O-])cc3s2)cc1,390.0,active
CHEMBL138427,CC(C)Oc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2CC2)cc1,400.0,active
CHEMBL341767,CC(C)c1ccccc1NC(=O)N1CCC[C@H]1C(=O)N1CC[C@H]2[C@H]1[C@H](C)C(=O)N2C(=O)C1CC1,470.0,active
CHEMBL138087,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3C(=O)c3ccc(-c4ccc(Cl)cc4)cc3)[C@H]12,1400.0,intermediate
CHEMBL421758,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3C(=O)c3cccc4ccccc34)[C@H]12,890.0,active
CHEMBL139571,CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)[C@@H]2[C@H](C)[C@@H]2C)cc1,300.0,active
CHEMBL344656,CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3c2nc3ccccc3s2)cc1,180.0,active
CHEMBL138141,CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3c2nc3ccc(F)cc3s2)cc1,360.0,active
CHEMBL107126,Cc1csc2nc(Cc3ccc(C(=O)c4ccc(NO)cc4)cc3)oc(=O)c12,14.0,active
CHEMBL107064,CC(=O)ON(C(C)=O)c1cccc(C(=O)c2ccc(Cc3nc4scc(C)c4c(=O)o3)cc2)c1,1400.0,intermediate
CHEMBL442199,Cc1csc2nc(Cc3ccc(C(=O)c4ccccc4)cc3)nc(O)c12,33000.0,inactive
CHEMBL108055,Cc1csc2nc(Cc3ccc(C(=O)c4cccc(CO)c4)cc3)oc(=O)c12,1100.0,intermediate
CHEMBL104823,Cc1csc2nc(Cc3ccc(C(=O)c4cccc(/N=[N+](\[O-])c5cccc(C(=O)c6ccc(Cc7nc8scc(C)c8c(=O)o7)cc6)c5)c4)cc3)oc(=O)c12,33000.0,inactive
CHEMBL323736,Cc1csc2nc(Cc3ccc(C(=O)c4cccc([N+](=O)[O-])c4)cc3)oc(=O)c12,3500.0,intermediate
CHEMBL317816,Cc1csc2nc(Cc3ccc(C(=O)c4cccc(NO)c4)cc3)nc(O)c12,2000.0,intermediate
CHEMBL320474,ONc1ccccc1,9000.0,intermediate
CHEMBL104680,CONc1cccc(C(=O)Nc2cccc(Cc3nc4scc(C)c4c(=O)o3)c2)c1,2200.0,intermediate
CHEMBL317213,Cc1csc2nc(Cc3cccc(NC(=O)c4cccc(NN)c4)c3)oc(=O)c12,3800.0,intermediate
CHEMBL326888,Cc1csc2nc(Cc3ccc(C(=O)c4cccc(N)c4)cc3)oc(=O)c12,1000.0,active
CHEMBL432637,Cc1csc2nc(Cc3ccc(C(=O)c4cccc(NO)c4)cc3)oc(=O)c12,19.0,active
CHEMBL107078,Cc1csc2nc(Cc3ccc(C(=O)c4cccc(N=O)c4)cc3)oc(=O)c12,55.0,active
CHEMBL105989,Cc1ccc(C(=O)c2cccc(NO)c2)cc1,3700.0,intermediate
CHEMBL106244,CC(=O)N(O)c1cccc(C(=O)c2ccc(Cc3nc4scc(C)c4c(=O)o3)cc2)c1,1100.0,intermediate
CHEMBL107357,Cc1csc2nc(Cc3ccc(C(=O)c4ccc(CO)cc4)cc3)oc(=O)c12,940.0,active
CHEMBL322676,Cc1csc2nc(Cc3cccc(NC(=O)c4cccc(NO)c4)c3)oc(=O)c12,45.0,active
CHEMBL104662,Cc1csc2nc(Cc3ccc(C(=O)c4ccccc4)cc3)oc(=O)c12,800.0,active
CHEMBL106921,Cc1csc2nc(Cc3cccc(NC(=O)c4ccccc4)c3)oc(=O)c12,1500.0,intermediate
CHEMBL107963,Cc1csc2nc(Cc3cccc(NC(=O)c4ccc(NN)cc4)c3)oc(=O)c12,2400.0,intermediate
CHEMBL106641,CC(=O)c1cccc(NO)c1,11000.0,inactive
CHEMBL108677,Cc1csc2nc(Cc3cccc(NC(=O)c4ccc(NO)cc4)c3)oc(=O)c12,61.0,active
CHEMBL542448,Cl.NO,33000.0,inactive
